state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,AHMEDABAD,ACADEMIC HEIGHTS PUBLIC SCHOOL,5-Pvt. Unaided (Recognized),ACADEMIC HEIGHTS PUBLIC SCHOOL,1 To 12,Ahmedabad,Amc,NA,,,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",,,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ACHRYA TEJANDR PRASAD PRI SCH,5-Pvt. Unaided (Recognized),"SWA,OMARAUAM WELD MR ITTAR GUJARAT PATEL SOCI ASARWA",,Ahmedabad,Amc,NA,,,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",1 To 4,3-Co-educational,1-Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A.C.PATEL PRI. SCHOOL,5-Pvt. Unaided (Recognized),NEAR DHARMABHUMI SOCIETY NAROL,1 To 8,Ahmedabad,Amc,NA,,,"Isanpur, Ahmedabad (M.Corp.) Ward No. 45",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,A C VIDHYAVIHAR SCHOOL,5-Pvt. Unaided (Recognized),NEAR PUNITNAGAR GHODASAR AHMEDABAD,1 To 8,Ahmedabad,Amc,NA,,,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADANI VIDYA MANDIR SCHOOL,5-Pvt. Unaided (Recognized),"Adani Vidya Mandir, Behind Adani CNG Pump, Near Katariya Automobile, Off SG Highway, Makarba",,Ahmedabad,City,NA,,,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",3 To 12,3-Co-educational,3-Pr. with Up.Pr. Sec. and H.Sec.,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARASH HINDI VIDYALAYA,5-Pvt. Unaided (Recognized),behind bhagwati kunj flat jivrajpark,9 To 12,Ahmedabad,City,NA,,,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",,,10-Secondary with Higher Secondary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARODA PRIMARY SCHOOL,3-Local Body,ADRODA PRI SCHOOL TA BAVLA DIST AHMEDABAD,,Ahmedabad,Bavla,Bavla,Adroda,Adroda,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH HIGH SCHOOL,5-Pvt. Unaided (Recognized),BHOOMI TENAMENT GHARGAV RAOD,9 To 10,Ahmedabad,Amc,NA,,,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",,,8-Secondary Only,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH HINDI VIDYALAY,5-Pvt. Unaided (Recognized),"bhagwati kunj flat,jivrajpark",1 To 8,Ahmedabad,Amc,NA,,,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 33",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH MADHYAMIK SHALA(ENG),5-Pvt. Unaided (Recognized),bhoomi tenament bhargav,9 To 10,Ahmedabad,Amc,NA,,,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",,,8-Secondary Only,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
